Pacific Daylight Time,Cache-Data Flushes,Page Faults,Available Bytes,Transition Faults,Cache Faults,Cache Bytes,Standby Cache Core Bytes,Current Disk Queue Length,% Disk Time,Process-Page Faults,% Processor Time,Interrupts,Processor Performance(PPM_Processor_0)\% of Maximum Frequency,Processor Performance(PPM_Processor_1)\% of Maximum Frequency,Processor Performance(PPM_Processor_3)\Processor Frequency,Processor Performance(PPM_Processor_2)\% of Maximum Frequency,System Calls,Threads,Source,Destination,Protocol,Length,Information,LABEL
44:37.8,9.965411055,1215.780149,4788113408,793.24672,0.996541105,148561920,129888256,0,0.805898903,1162.96347,13.18698359,2557.124477,62,62,1005,62,11321.7035,1840,::1,::1,TCP,65,57527  >  80 [ACK] Seq=1 Ack=1 Win=10230 Len=1,NORMAL
44:38.8,3.997198364,1109.222546,4787859456,707.5041104,0.999299591,148566016,129888256,0,0.209852641,1144.198032,10.9999958,2277.403768,62,62,1005,62,9350.446272,1838,NULL,NULL,NULL,NULL,NULL,NORMAL
44:39.8,2.042149975,524.8325437,4788817920,432.9357948,2.042149975,148574208,129888256,0,0.031993868,1332.502859,22.2084851,3526.793008,59,61,1005,60,12997.26352,1839,NULL,NULL,NULL,NULL,NULL,NORMAL
44:40.8,4.91451641,2985.077268,4786810880,1541.192346,19.65806564,148652032,129888256,0,0.105510339,2256.745936,34.35418989,6457.674563,61,59,1005,60,32626.49154,1842,NULL,NULL,NULL,NULL,NULL,NORMAL
44:41.8,5.972788573,2645.945338,4782325760,1257.271995,14.93197143,148713472,129888256,0,0.097754027,2599.158494,51.39362202,7899.012887,49,49,1005,49,41990.69459,1840,NULL,NULL,NULL,NULL,NULL,NORMAL
44:42.8,8.1077208,5510.209749,4766400512,598.9578741,1.0134651,148664320,129888256,0,0.14805182,5495.007772,44.97398579,8860.725369,48,48,1005,47,30476.92249,1842,NULL,NULL,NULL,NULL,NULL,NORMAL
44:43.8,1.950154252,1293.927346,4765683712,1063.809145,1.950154252,148672512,129888256,0,0.029936301,1215.921176,10.10577363,2379.188188,43,43,1005,43,9138.422826,1842,NULL,NULL,NULL,NULL,NULL,NORMAL
44:44.8,5.078243545,2348.179815,4767739904,989.2418426,2.031297418,148680704,129888256,0,0.083115288,2431.463009,2.80555735,818.6128595,56,56,1005,56,9709.601659,1841,NULL,NULL,NULL,NULL,NULL,NORMAL
44:45.8,6.064337159,526.58661,4764241920,450.7823955,1.01072286,148684800,129888256,0,0.08711055,440.6751669,0.894444817,735.806242,62,62,1005,62,3793.242893,1841,NULL,NULL,NULL,NULL,NULL,NORMAL
44:46.8,1.994121131,869.4368133,4766564352,721.8718496,1.994121131,148692992,129888256,0,0.02330448,867.4426922,0.678542972,751.7836666,62,62,1005,62,3616.338672,1840,NULL,NULL,NULL,NULL,NULL,NORMAL
44:47.8,33.82660146,5937.563456,4767653888,3464.241949,67.65320292,148185088,129888256,0,0.418760361,2450.438806,19.1674677,3585.619755,62,62,1005,62,19510.98474,1841,NULL,NULL,NULL,NULL,NULL,NORMAL
44:48.8,8.987315303,961.6427374,4769665024,751.9387137,1.997181178,147931136,129888256,0,0.127360842,931.6850198,20.81452021,3429.160083,56,56,1005,55,12329.59801,1841,NULL,NULL,NULL,NULL,NULL,NORMAL
44:49.8,4.044574446,489.393508,4767432704,403.446301,0,147918848,129888256,0,0.079381538,451.9811943,2.049592683,559.1624172,56,62,1005,56,3877.73575,1841,NULL,NULL,NULL,NULL,NULL,NORMAL
44:50.8,1.980904477,874.5693266,4767531008,717.0874207,1.980904477,147927040,129888256,0,0.027386612,872.5884221,3.660901645,1087.516558,62,62,1005,62,5419.754649,1843,NULL,NULL,NULL,NULL,NULL,NORMAL
44:51.8,3.005119522,2735.660471,4767186944,775.3208366,5.008532536,147947520,129888256,0,0.046798748,2734.658765,29.96027415,3626.177556,62,62,1005,62,13524.03955,1841,NULL,NULL,NULL,NULL,NULL,NORMAL
44:52.8,3.991302951,2927.620714,4770033664,1727.236352,202.5586248,147791872,129900544,0,0.066065896, NULL,36.4610752,5681.619751,55,55,1005,56,24641.30659,1837,NULL,NULL,NULL,NULL,NULL,NORMAL
44:53.8,3.00309499,1401.444329,4765274112,747.7706524,2.002063326,147800064,129900544,0,0.069880719,1399.442265,15.12378629,3690.803742,59,59,1005,58,16136.63041,1835,NULL,NULL,NULL,NULL,NULL,NORMAL
44:54.8,1.988264863,10861.89095,4755230720,4772.829804,21.87091349,147890176,129900544,0,0.029770392,11337.08625,30.52063408,5112.823096,55,55,1005,55,33307.41299,1850,::1,::1,TCP/MySQL/HTTP,76,80  >  57527 [ACK] Seq=1 Ack=2 Win=10230 Len=0 SLE=1 SRE=2,NORMAL
44:55.8,21.10983447,8082.050911,4745846784,5240.265099,10.05230213,147898368,129900544,0,0.341519891,7550.284128,19.10015088,4885.418834,55,55,1005,55,20797.20787,1860,172.20.10.2,239.255.255.250,SSDP,206,M-SEARCH * HTTP/1.1 ,NORMAL
44:56.8,6.016323489,990.6879345,4745379840,753.0431567,0,147898368,129900544,0,0.101222905,991.6906551,34.19734599,4635.577248,55,56,1005,56,16568.95489,1860,172.20.10.2,239.255.255.250,SSDP,206,M-SEARCH * HTTP/1.1 ,NORMAL
44:57.8,9.893649207,1148.652673,4747460608,833.0452632,1.978729841,147906560,129900544,0,0.149017423,1145.684578,30.4314659,5500.868959,55,55,1005,56,21876.83713,1861,172.20.10.2,239.255.255.250,SSDP,206,M-SEARCH * HTTP/1.1 ,NORMAL
44:58.8,2.003500516,3877.775249,4747317248,1287.249082,14.02450361,147963904,129900544,0,0.026114603,3859.743744,25.65023084,5815.160248,56,56,1005,56,22737.72736,1863,::1,::1,TCP/MySQL/HTTP/SSDP,829,GET /dcml/index.php HTTP/1.1 ,NORMAL
44:59.8,22.14660387,2207.613741,4746989568,779.1577908,12.07996575,148000768,129900544,0,0.279139115,2188.487128,33.54894618,6543.314781,53,54,1005,51,26324.2587,1863,::1,::1,TCP/MySQL/HTTP,832,GET /dcml/librarian/ HTTP/1.1 ,NORMAL
45:00.8,11.0010649,1724.166899,4745457664,1017.098455,2.000193619,147988480,129900544,0,0.168734118,1722.166706,23.81271493,4211.407664,55,55,1005,56,18288.77035,1864,NULL,NULL,NULL,NULL,NULL,NORMAL
45:01.8,4.998910238,2231.51353,4744155136,1046.771804,12.99716662,148029440,129900544,0,0.093194632,2211.517889,25.41093314,5065.895635,62,62,1005,62,23002.98535,1857,::1,::1,TCP/MySQL/HTTP,832,GET /dcml/index.php HTTP/1.1 ,NORMAL
45:02.8,12.0425717,1015.590213,4744228864,752.6607309,3.010642924,148029440,129900544,0,0.228792557,1012.57957,30.22092963,4166.729807,49,49,1005,49,15487.75075,1854,NULL,NULL,NULL,NULL,NULL,NORMAL
45:03.8,8.91136048,1283.235909,4744286208,1034.707967,3.960604658,148033536,129900544,0,0.178360427,1279.275304,0.601112461,923.8110364,55,56,1005,56,4268.54167,1854,NULL,NULL,NULL,NULL,NULL,NORMAL
45:04.8,36.15538863,2782.960608,4747407360,1282.51198,69.29782821,148250624,129900544,1,3.102838126,2793.003772,5.03758264,1219.24005,56,56,1005,61,11754.51857,1854,NULL,NULL,NULL,NULL,NULL,NORMAL
45:05.8,1.97579903,1085.701567,4745908224,722.1545456,1.97579903,148258816,129900544,0,0.017688536,974.068922,1.622338004,793.2833107,62,62,1005,62,5027.420633,1852,NULL,NULL,NULL,NULL,NULL,NORMAL
45:06.8,11.24984557,1104.530292,4745990144,774.1939179,1.022713234,148262912,129900544,0,0.148108634,1101.462153,16.10594973,3760.51656,62,62,1005,62,14061.28425,1849,::1,::1,TCP,64,"80  >  57535 [FIN, ACK] Seq=6421 Ack=3058 Win=2616576 Len=0",NORMAL
45:07.8,7.99867382,906.8496443,4748038144,723.8799807,1.999668455,148271104,129900544,0,0.145399615,904.8499759,43.3673099,5423.10085,55,55,1005,56,19203.81601,1848,NULL,NULL,NULL,NULL,NULL,NORMAL
